Заголовок:Перелік галузей знань, спеціальностей та освітніх програм підготовки здобувачів вищої освіти
на першому (бакалаврському), другому (магістерському) та третьому (освітньо-науковому) рівнях вищої освіти та сертифікатів про акредитацію
Дата: ----------
URL: https://docs.google.com/spreadsheets/d/1UyHKOsqxT8RUAy0adTHsiS_KUQVzdYI1AedOw5A1z5E/edit?gid=0#gid=0
==================================================
"Перелік галузей знань, спеціальностей та освітніх програм підготовки здобувачів вищої освіти
на першому (бакалаврському), другому (магістерському) та третьому (освітньо-науковому) рівнях вищої освіти та сертифікатів про акредитацію"									
112	13 Механічна інженерія	131 Прикладна механіка	57784	Прикладна механіка композиційних конструкцій та технічних систем	Перший (бакалаврський)	Неакредитована (ОП)	---	---	Аерокосмічний факультет
113	13 Механічна інженерія	131 Прикладна механіка	57785	Прикладна механіка, стандартизація та оцінка якості технічних систем	Другий (магістерський)	"№9257
(ОП)"	"28.10.2024
22.10.2025"	Національне агентство із забезпечення якості вищої освіти 	Аерокосмічний факультет
114	13 Механічна інженерія	131 Прикладна механіка	49912	Прикладна механіка	Третій (освітньо- науковий)	"№9258
(ОП)"	"28.10.2024
22.10.2025"	Національне агентство із забезпечення якості вищої освіти 	Аерокосмічний факультет
115	13 Механічна інженерія	134 Авіаційна та ракетно-космічна техніка	8092	Літаки і вертольоти	Перший (бакалаврський)	"№ 3973
 (ОП)"	"25.01.2023
01.07.2028"	Національне агентство із забезпечення якості вищої освіти 	Аерокосмічний факультет
116	13 Механічна інженерія	134 Авіаційна та ракетно-космічна техніка	8935	Літаки і вертольоти	Другий (магістерський)	УД №11006752 (ОП)	"08.01.2019
01.07.2025"	Міністерство освіти і науки України	Аерокосмічний факультет
117	13 Механічна інженерія	134 Авіаційна та ракетно-космічна техніка	9223	Обладнання повітряних суден	Перший (бакалаврський)	"№ 4176
(ОП)"	"28.04.2023
01.07.2028"	Національне агентство із забезпечення якості вищої освіти 	Аерокосмічний факультет
118	13 Механічна інженерія	134 Авіаційна та ракетно-космічна техніка	20335	Обладнання повітряних суден	Другий (магістерський)	"№6216
(ОП)"	24.11.2023 01.07.2029	Національне агентство із забезпечення якості вищої освіти 	Аерокосмічний факультет
119	13 Механічна інженерія	134 Авіаційна та ракетно-космічна техніка	49913	Авіаційна та ракетно-космічна техніка	Третій (освітньо- науковий)	"№ 4580
(ОП)"	"02.06.2023
01.07.2028"	Національне агентство із забезпечення якості вищої освіти 	Аерокосмічний факультет
120	14 Електрична інженерія	"141
 Електроенергетика,
 електротехніка та електромеханіка"	8733	Енергетичний менеджмент	Перший (бакалаврський)	"№8200
(ОП)"	"16.05.2024
01.07.2029"	Національне агентство із забезпечення якості вищої освіти 	Аерокосмічний факультет
121	14 Електрична інженерія	"141
 Електроенергетика, електротехніка та
 електромеханіка"	16495	Енергетичний менеджмент	Другий (магістерський)	"№6215
(ОП)"	24.11.2023 01.07.2029	Національне агентство із забезпечення якості вищої освіти 	Аерокосмічний факультет
122	14 Електрична інженерія	"141
 Електроенергетика, електротехніка та електромеханіка"	6108	Електротехнічні системи електроспоживання	Перший (бакалаврський)	"№6866
(ОП)"	"26.12.2023
26.12.2024"	Національне агентство із забезпечення якості вищої освіти 	Аерокосмічний факультет
123	14 Електрична інженерія	"141
 Електроенергетика, електротехніка та електромеханіка"	20427	Електротехнічні системи електроспоживання	Другий (магістерський)	УД №11006753 (ОП)	"08.01.2019
01.07.2025"	Міністерство освіти і науки України	Аерокосмічний факультет
124	14 Електрична інженерія	142 Енергетичне машинобудування	46973	Авіаційні двигуни та енергетичні установки	Перший (бакалаврський)	НД №1191127 (С)	"30.08.2017
01.07.2025"	Міністерство освіти і науки України	Аерокосмічний факультет
125	14 Електрична інженерія	142 Енергетичне машинобудування	6106	Газотурбінні установки і компресорні станції	Перший (бакалаврський)	"№ 4412
(ОП)"	"19.05.2023
01.07.2028"	Національне агентство із забезпечення якості вищої освіти 	Аерокосмічний факультет
126	14 Електрична інженерія	142 Енергетичне машинобудування	9494	Газотурбінні установки і компресорні станції	Другий (магістерський)	"№6214
(ОП)"	24.11.2023 01.07.2029	Національне агентство із забезпечення якості вищої освіти 	Аерокосмічний факультет
127	14 Електрична інженерія	142 Енергетичне машинобудування	49914	Енергетичне машинобудування	Третій (освітньо- науковий)	"№ 2677  
(ОП)"	"20.12.2021
01.07.2027"	Національне агентство із забезпечення якості вищої освіти 	Аерокосмічний факультет
128	15 Автоматизація та приладобудування	151 Автоматизація та комп’ютерно- інтегровані технології	28436	Інформаційні технології та інженерія авіаційних комп'ютерних систем	Перший (бакалаврський)	НД №1191126 (С)	"30.08.2017
01.07.2026"	Міністерство освіти і науки України	Факультет аеронавігації, електроніки та телекомунікацій
129	15 Автоматизація та приладобудування	151 Автоматизація та комп’ютерно- інтегровані технології	7083	Автоматика та автоматизація на транспорті	Перший (бакалаврський)	НД №1191126 (С)	"30.08.2017
01.07.2026"	Міністерство освіти і науки України	Аерокосмічний факультет
130	15 Автоматизація та приладобудування	151 Автоматизація та комп’ютерно- інтегровані технології	8089	Комп’ютерно-інтегровані технологічні процеси і виробництва	Перший (бакалаврський)	НД №1191126 (С)	"30.08.2017
01.07.2026"	Міністерство освіти і науки України	Факультет аеронавігації, електроніки та телекомунікацій
131	15 Автоматизація та приладобудування	151 Автоматизація та комп’ютерно- інтегровані технології	6332	Комп’ютеризовані системи управління та автоматика	Перший (бакалаврський)	НД №1191126 (С)	"30.08.2017
01.07.2026"	Міністерство освіти і науки України	Факультет аеронавігації, електроніки та телекомунікацій
132	15 Автоматизація та приладобудування	151 Автоматизація та комп’ютерно- інтегровані технології	49915	Автоматизація та комп’ютерно-інтегровані технології	Третій (освітньо- науковий)	"№ 5780 
(ОП)"	"26.07.2023
01.07.2027"	Національне агентство із забезпечення якості вищої освіти 	Факультет аеронавігації, електроніки та телекомунікацій
133	15 Автоматизація та приладобудування	"152 Метрологія та інформаційно- вимірювальна техніка
"	49916	Метрологія та інформаційно- вимірювальна техніка	Третій (освітньо- науковий)	"№ 5784 
(ОП)"	"28.07.2023
01.07.2027"	Національне агентство із забезпечення якості вищої освіти 	Аерокосмічний факультет
134	"15 Автоматизація та приладобудування
"	"153 Мікро- та наносистемна техніка
"	7084	Фізична та біомедична електроніка	Перший (бакалаврський)	"№ 5782
(ОП)"	"28.07.2023
01.07.2026"	Національне агентство із забезпечення якості вищої освіти 	Факультет аеронавігації, електроніки та телекомунікацій
135	"16 Хімічна та біоінженерія
"	161 Хімічні технології та інженерія	53521	Хімічні технології лікарських речовин та медичних виробів	Перший (бакалаврський)	Неакредитована (ОП)	---	---	Факультет екологічної безпеки, інженерії та технологій
136	16 Хімічна інженерія та біоінженерія (для вступників з 2023 року)	161 Хімічні технології та інженерія	59211	Хімічні технології лікарських речовин та медичних виробів	Перший (бакалаврський)	Неакредитована (ОП)	---	---	Факультет екологічної безпеки, інженерії та технологій
137	"16 Хімічна та біоінженерія
"	161 Хімічні технології та інженерія	10167	Хімічні технології палива та вуглецевих матеріалів	Перший (бакалаврський)	"№ 5792
(ОП)"	"28.07.2023
01.07.2028"	Національне агентство із забезпечення якості вищої освіти 	Факультет екологічної безпеки, інженерії та технологій
138	16 Хімічна інженерія та біоінженерія (для вступників з 2023 року)	161 Хімічні технології та інженерія	59212	Хімічні технології палива та вуглецевих матеріалів	Перший (бакалаврський)	"№ 5792
(ОП)"	"28.07.2023
01.07.2028"	Національне агентство із забезпечення якості вищої освіти 	Факультет екологічної безпеки, інженерії та технологій
139	16 Хімічна інженерія та біоінженерія 	161 Хімічні технології та інженерія	59305	Хімічні технології палива та вуглецевих матеріалів	Другий (магістерський)	"№6773
 (ОП)"	"26.12.2023
01.07.2029"	Національне агентство із забезпечення якості вищої освіти 	Факультет екологічної безпеки, інженерії та технологій
140	"16 Хімічна та біоінженерія
"	161 Хімічні технології та інженерія	9079	Хімічні технології альтернативних енергоресурсів	Перший (бакалаврський)	"№ 5785
(ОП)"	"28.07.2023
01.07.2028"	Національне агентство із забезпечення якості вищої освіти 	Факультет екологічної безпеки, інженерії та технологій
141	16 Хімічна інженерія та біоінженерія (для вступників з 2023 року)	161 Хімічні технології та інженерія	59214	Хімічні технології альтернативних енергоресурсів	Перший (бакалаврський)	"№ 5785
(ОП)"	"28.07.2023
01.07.2028"	Національне агентство із забезпечення якості вищої освіти 	Факультет екологічної безпеки, інженерії та технологій
142	16 Хімічна інженерія та біоінженерія 	161 Хімічні технології та інженерія	59307	Хімічні технології альтернативних енергоресурсів	Другий (магістерський)	"№ 5760
 (ОП)"	"26.07.2023
01.07.2026"	Національне агентство із забезпечення якості вищої освіти 	Факультет екологічної безпеки, інженерії та технологій
143	"16 Хімічна та біоінженерія
"	161 Хімічні технології та інженерія	49917	Хімічні технології та інженерія	Третій (освітньо- науковий)	"№ 5790
(ОП)"	"28.07.2023
01.07.2028"	Національне агентство із забезпечення якості вищої освіти 	Факультет екологічної безпеки, інженерії та технологій
144	16 Хімічна інженерія та біоінженерія (для вступників з 2023 року)	161 Хімічні технології та інженерія	59093	Хімічні технології та інженерія	Третій (освітньо- науковий)	"№ 5790
(ОП)"	"28.07.2023
01.07.2028"	Національне агентство із забезпечення якості вищої освіти 	Факультет екологічної безпеки, інженерії та технологій
145	"16 Хімічна та біоінженерія
"	162 Біотехнології та біоінженерія	6379	Фармацевтична біотехнологія	Перший (бакалаврський)	УД №11005620 (С)	"12.09.2018
 01.07.2028"	Міністерство освіти і науки України	Факультет екологічної безпеки, інженерії та технологій
146	16 Хімічна інженерія та біоінженерія (для вступників з 2023 року)	162 Біотехнології та біоінженерія	59220	Фармацевтична біотехнологія	Перший (бакалаврський)	УД №11016966 (С)	"01.07.2023
 01.07.2028"	Міністерство освіти і науки України	Факультет екологічної безпеки, інженерії та технологій
147	16 Хімічна інженерія та біоінженерія 	162 Біотехнології та біоінженерія	59308	Фармацевтична біотехнологія	Другий (магістерський)	УД №11005824 (ОП)	"12.11.2018
 01.07.2025"	Міністерство освіти і науки України	Факультет екологічної безпеки, інженерії та технологій
148	"16 Хімічна та біоінженерія
"	162 Біотехнології та біоінженерія	8090	Екологічна біотехнологія та біоенергетика	Перший (бакалаврський)	УД №11005620 (С)	"12.09.2018
 01.07.2028"	Міністерство освіти і науки України	Факультет екологічної безпеки, інженерії та технологій
149	16 Хімічна інженерія та біоінженерія (для вступників з 2023 року)	162 Біотехнології та біоінженерія	59221	Екологічна біотехнологія та біоенергетика	Перший (бакалаврський)	УД №11016966 (С)	"01.07.2023
 01.07.2028"	Міністерство освіти і науки України	Факультет екологічної безпеки, інженерії та технологій
150	16 Хімічна інженерія та біоінженерія 	162 Біотехнології та біоінженерія	59310	Екологічна біотехнологія та біоенергетика	Другий (магістерський)	УД №11005823 (ОП)	"12.11.2018
 01.07.2025"	Міністерство освіти і науки України	Факультет екологічної безпеки, інженерії та технологій
151	"16 Хімічна та біоінженерія
"	163 Біомедична інженерія	6943	Біомедична інженерія	Перший (бакалаврський)	"№ 5781
(ОП)"	"28.07.2023
01.07.2028"	Національне агентство із забезпечення якості вищої освіти 	Факультет екологічної безпеки, інженерії та технологій
152	16 Хімічна інженерія та біоінженерія (для вступників з 2023 року)	163 Біомедична інженерія	59223	Біомедична інженерія	Перший (бакалаврський)	"№ 5781
(ОП)"	"28.07.2023
01.07.2028"	Національне агентство із забезпечення якості вищої освіти 	Факультет екологічної безпеки, інженерії та технологій
153	16 Хімічна інженерія та біоінженерія 	163 Біомедична інженерія	59311	Біомедична інженерія	Другий (магістерський)	"№9261
(ОП)"	"28.10.2024
22.10.2025"	Національне агентство із забезпечення якості вищої освіти 	Факультет екологічної безпеки, інженерії та технологій
154	"17 Електроніка та телекомунікації
"	171 Електроніка	18123	Електронні технології інтернету речей	Перший (бакалаврський)	"№ 5783
 (ОП)"	"28.07.2023
01.07.2027"	Національне агентство із забезпечення якості вищої освіти 	Факультет аеронавігації, електроніки та телекомунікацій
155	17 Електроніка, автоматизація та електронні комунікації (для вступників з 2023 року)	171 Електроніка	59287	Електронні технології інтернету речей	Перший (бакалаврський)	"№ 5783
 (ОП)"	"28.07.2023
01.07.2027"	Національне агентство із забезпечення якості вищої освіти 	Факультет аеронавігації, електроніки та телекомунікацій
156	17 Електроніка, автоматизація та електронні комунікації 	171 Електроніка	59313	"Електронні прилади та пристрої
Набір припинено з 2024 р."	Другий (магістерський)	УД №11005826 (ОП)	"12.11.2018
01.07.2025"	Міністерство освіти і науки України	Факультет аеронавігації, електроніки та телекомунікацій
157	"17 Електроніка та телекомунікації
"	171 Електроніка	7653	Електронні системи	Перший (бакалаврський)	"№ 5788
 (ОП)"	"28.07.2023
01.07.2026"	Національне агентство із забезпечення якості вищої освіти 	Факультет аеронавігації, електроніки та телекомунікацій
158	17 Електроніка, автоматизація та електронні комунікації (для вступників з 2023 року)	171 Електроніка	59288	Електронні системи	Перший (бакалаврський)	"№ 5788
 (ОП)"	"28.07.2023
01.07.2026"	Національне агентство із забезпечення якості вищої освіти 	Факультет аеронавігації, електроніки та телекомунікацій
159	17 Електроніка, автоматизація та електронні комунікації 	171 Електроніка	59314	Електронні системи	Другий (магістерський)	УД №11005825 (ОП)	"12.11.2018
01.07.2025"	Міністерство освіти і науки України	Факультет аеронавігації, електроніки та телекомунікацій
160	"17 Електроніка та телекомунікації
"	"172 Телекомунікації та радіотехніка
"	33070	Комп’ютерно-інтегровані радіоінформаційні системи та технології	Перший (бакалаврський)	УД №11009180 (С)	"02.04.2019
01.07.2029"	Міністерство освіти і науки України	Факультет аеронавігації, електроніки та телекомунікацій
161	17 Електроніка, автоматизація та електронні комунікації (для вступників з 2023 року)	172 Електронні комунікації та радіотехніка (для вступників з 2023 року)	59290	Комп’ютерно-інтегровані радіоінформаційні системи та технології	Перший (бакалаврський)	УД №11016967 (С)	"01.07.2023
01.07.2029"	Міністерство освіти і науки України	Факультет аеронавігації, електроніки та телекомунікацій
162	"17 Електроніка та телекомунікації
"	"172 Телекомунікації та радіотехніка
"	9457	"Біотехнічні та медичні апарати і системи
Набір припинено з 2023 р."	Перший (бакалаврський)	УД №11009180 (С)	"02.04.2019
01.07.2029"	Міністерство освіти і науки України	Факультет екологічної безпеки, інженерії та технологій
163	17 Електроніка, автоматизація та електронні комунікації (для вступників з 2023 року)	172 Електронні комунікації та радіотехніка (для вступників з 2023 року)	59291	"Біотехнічні та медичні апарати і системи
Набір припинено з 2023 р."	Перший (бакалаврський)	УД №11016967 (С)	"01.07.2023
01.07.2029"	Міністерство освіти і науки України	Факультет екологічної безпеки, інженерії та технологій
164	"17 Електроніка та телекомунікації
"	"172 Телекомунікації та радіотехніка
"	8230	Телекомунікаційні системи та мережі	Перший (бакалаврський)	УД №11009180 (С)	"02.04.2019
01.07.2029"	Міністерство освіти і науки України	Факультет аеронавігації, електроніки та телекомунікацій
165	17 Електроніка, автоматизація та електронні комунікації (для вступників з 2023 року)	172 Електронні комунікації та радіотехніка (для вступників з 2023 року)	59292	Телекомунікаційні системи та мережі	Перший (бакалаврський)	УД №11016967 (С)	"01.07.2023
01.07.2029"	Міністерство освіти і науки України	Факультет аеронавігації, електроніки та телекомунікацій
166	17 Електроніка, автоматизація та електронні комунікації 	172 Електронні комунікації та радіотехніка 	59316	Телекомунікаційні системи та мережі	Другий (магістерський)	"№6874
(ОП)"	"16.01.2024
01.07.2029"	Національне агентство із забезпечення якості вищої освіти 	Факультет аеронавігації, електроніки та телекомунікацій
167	17 Електроніка, автоматизація та електронні комунікації 	172 Електронні комунікації та радіотехніка 	59320	Радіоелектронні пристрої, системи та комплекси	Другий (магістерський)	"№9268
(ОП)"	"28.10.2024
22.10.2025"	Національне агентство із забезпечення якості вищої освіти 	Факультет аеронавігації, електроніки та телекомунікацій
168	"17 Електроніка та телекомунікації
"	"172 Телекомунікації та радіотехніка
"	49918	Телекомунікації та радіотехніка	Третій (освітньо- науковий)	"№ 5791
(ОП)"	"28.07.2023
01.07.2028"	Національне агентство із забезпечення якості вищої освіти 	Факультет аеронавігації, електроніки та телекомунікацій
169	17 Електроніка, автоматизація та електронні комунікації (для вступників з 2023 року)	172 Електронні комунікації та радіотехніка (для вступників з 2023 року)	59094	Телекомунікації та радіотехніка	Третій (освітньо- науковий)	"№ 5791
(ОП)"	"28.07.2023
01.07.2028"	Національне агентство із забезпечення якості вищої освіти 	Факультет аеронавігації, електроніки та телекомунікацій
170	"17 Електроніка та телекомунікації
"	173 Авіоніка	24342	"Комп’ютерний дизайн авіоніки
Набір припинено з 2023 р."	Перший (бакалаврський)	НД №1191134 (С)	"30.08.2017
01.07.2025"	Міністерство освіти і науки України	Факультет аеронавігації, електроніки та телекомунікацій
171	17 Електроніка, автоматизація та електронні комунікації (для вступників з 2023 року)	173 Авіоніка	59438	"Комп’ютерний дизайн авіоніки
Набір припинено з 2023 р."	Перший (бакалаврський)	УД №11016975 (С)	"01.07.2023
01.07.2025"	Міністерство освіти і науки України	Факультет аеронавігації, електроніки та телекомунікацій
172	"17 Електроніка та телекомунікації
"	173 Авіоніка	6940	Комплекси пілотажно-навігаційного обладнання	Перший (бакалаврський)	НД №1191134 (С)	"30.08.2017
01.07.2025"	Міністерство освіти і науки України	Факультет аеронавігації, електроніки та телекомунікацій
173	17 Електроніка, автоматизація та електронні комунікації (для вступників з 2023 року)	173 Авіоніка	59293	Комплекси пілотажно-навігаційного обладнання	Перший (бакалаврський)	УД №11016975 (С)	"01.07.2023
01.07.2025"	Міністерство освіти і науки України	Факультет аеронавігації, електроніки та телекомунікацій
174	17 Електроніка, автоматизація та електронні комунікації 	173 Авіоніка	59321	Комплекси пілотажно-навігаційного обладнання	Другий (магістерський)	УД №11005829 (ОП)	"12.11.2018
01.07.2025"	Міністерство освіти і науки України	Факультет аеронавігації, електроніки та телекомунікацій
175	17 Електроніка, автоматизація та електронні комунікації (для вступників з 2023 року)	"174 Автоматизація, комп'ютерно-
інтегровані технології та робототехніка (для вступників з 2023 року)"	59206	Інформаційні технології та інженерія авіаційних комп'ютерних систем	Перший (бакалаврський)	УД №11016974 (С)	"01.07.2023
01.12.2025"	Міністерство освіти і науки України	Факультет аеронавігації, електроніки та телекомунікацій
176	17 Електроніка, автоматизація та електронні комунікації (для вступників з 2023 року)	"174 Автоматизація, комп'ютерно-
інтегровані технології та робототехніка (для вступників з 2023 року)"	59207	Автоматика та автоматизація на транспорті	Перший (бакалаврський)	УД №11016974 (С)	"01.07.2023
01.12.2025"	Міністерство освіти і науки України	Аерокосмічний факультет
177	17 Електроніка, автоматизація та електронні комунікації 	"174 Автоматизація, комп'ютерно-
інтегровані технології та робототехніка "	59300	Автоматика та автоматизація на транспорті	Другий (магістерський)	УД №11016976 (С)	" 01.07.2023
01.07.2025"	Міністерство освіти і науки України	Аерокосмічний факультет
178	17 Електроніка, автоматизація та електронні комунікації (для вступників з 2023 року)	"174 Автоматизація, комп'ютерно-
інтегровані технології та робототехніка (для вступників з 2023 року)"	59208	Комп’ютерно-інтегровані технологічні процеси і виробництва	Перший (бакалаврський)	УД №11016974 (С)	"01.07.2023
01.12.2025"	Міністерство освіти і науки України	Факультет аеронавігації, електроніки та телекомунікацій
179	17 Електроніка, автоматизація та електронні комунікації 	"174 Автоматизація, комп'ютерно-
інтегровані технології та робототехніка "	59301	Комп’ютерно-інтегровані технологічні процеси і виробництва	Другий (магістерський)	"№6873
 (ОП)"	"16.01.2024
01.07.2029"	Національне агентство із забезпечення якості вищої освіти 	Факультет аеронавігації, електроніки та телекомунікацій
180	17 Електроніка, автоматизація та електронні комунікації (для вступників з 2023 року)	"174 Автоматизація, комп'ютерно-
інтегровані технології та робототехніка (для вступників з 2023 року)"	59209	Комп’ютеризовані системи управління та автоматика	Перший (бакалаврський)	УД №11016974 (С)	"01.07.2023
01.12.2025"	Міністерство освіти і науки України	Факультет аеронавігації, електроніки та телекомунікацій
181	17 Електроніка, автоматизація та електронні комунікації 	"174 Автоматизація, комп'ютерно-
інтегровані технології та робототехніка "	59302	Комп’ютеризовані системи управління та автоматика	Другий (магістерський)	УД №11016976 (ОП)	"01.07.2023
01.07.2025"	Міністерство освіти і науки України	Факультет аеронавігації, електроніки та телекомунікацій
182	17 Електроніка, автоматизація та електронні комунікації 	"174 Автоматизація, комп'ютерно-
інтегровані технології та робототехніка "	59303	Інформаційне забезпечення та інженерія авіаційних комп’ютерних систем	Другий (магістерський)	УД №11016976 (ОП)	"01.07.2023
01.07.2025"	Міністерство освіти і науки України	Факультет аеронавігації, електроніки та телекомунікацій
183	17 Електроніка, автоматизація та електронні комунікації (для вступників з 2023 року)	"174 Автоматизація, комп'ютерно-
інтегровані технології та робототехніка (для вступників з 2023 року)"	59095	Автоматизація та комп’ютерно-інтегровані технології	Третій (освітньо- науковий)	"№ 5780 
(ОП)"	"26.07.2023
01.07.2027"	Національне агентство із забезпечення якості вищої освіти 	Факультет аеронавігації, електроніки та телекомунікацій
184	17 Електроніка, автоматизація та електронні комунікації (для вступників з 2023 року)	"175 Інформаційно-
вимірювальні технології (для вступників  з 2023 року)"	59096	Метрологія та інформаційно- вимірювальна техніка	Третій (освітньо- науковий)	"№ 5784 
(ОП)"	"28.07.2023
01.07.2027"	Національне агентство із забезпечення якості вищої освіти 	Аерокосмічний факультет
185	17 Електроніка, автоматизація та електронні комунікації (для вступників  з 2023 року)	176 Мікро- та наносистемна техніка (для вступників з 2023 року)	59210	Фізична та біомедична електроніка	Перший (бакалаврський)	"№ 5782
(ОП)"	"28.07.2023
01.07.2026"	Національне агентство із забезпечення якості вищої освіти 	Факультет аеронавігації, електроніки та телекомунікацій
186	17 Електроніка, автоматизація та електронні комунікації (для вступників  з 2023 року)	176 Мікро- та наносистемна техніка (для вступників з 2023 року)	59304	Фізична та біомедична електроніка	Другий (магістерський)	УД №11016972 (ОП)	"01.07.2023
01.07.2025"	Міністерство освіти і науки України	Факультет аеронавігації, електроніки та телекомунікацій
187	18 Виробництво та технології	186 Видавництво та поліграфія	6960	Технології електронних мультимедійних видань	Перший (бакалаврський)	"№7544
(ОП)"	"17.04.2024
16.04.2025"	Національне агентство із забезпечення якості вищої освіти 	Факультет міжнародних відносин
188	18 Виробництво та технології	186 Видавництво та поліграфія	7673	Технології електронних мультимедійних видань	Другий (магістерський)	УД №11005830 (ОП)	"12.11.2018
01.07.2025"	Міністерство освіти і науки України	Факультет міжнародних відносин
189	18 Виробництво та технології	186 Видавництво та поліграфія	65096	Технології електронних мультимедійних видань	Третій (освітньо- науковий)	Неакредитована (ОП)	---	---	Факультет міжнародних відносин
190	19 Архітектура та будівництво	191 Архітектура та містобудування	6991	Дизайн архітектурного середовища	Перший (бакалаврський)	"№ 1935 
(ОП)"	"30.06.2021
01.07.2026"	Національне агентство із забезпечення якості вищої освіти 	Факультет наземних споруд і аеродромів 
191	19 Архітектура та будівництво	191 Архітектура та містобудування	9458	Дизайн архітектурного середовища	Другий (магістерський)	"№6794
 (ОП)"	"26.12.2023
01.07.2029"	Національне агентство із забезпечення якості вищої освіти 	Факультет наземних споруд і аеродромів 
192	19 Архітектура та будівництво	191 Архітектура та містобудування	55552	Архітектура та містобудування	Третій (освітньо- науковий)	Неакредитована (ОП)	---	---	Факультет наземних споруд і аеродромів 
193	19 Архітектура та будівництво	192 Будівництво та цивільна інженерія	9490	Автомобільні дороги і аеродроми	Перший (бакалаврський)	"№ 4394
(ОП)"	"19.05.2023
01.07.2028"	Національне агентство із забезпечення якості вищої освіти 	Факультет наземних споруд і аеродромів 
194	19 Архітектура та будівництво	192 Будівництво та цивільна інженерія	6103	Автомобільні дороги і аеродроми	Другий (магістерський)	"№6792
 (ОП)"	"26.12.2023
01.07.2029"	Національне агентство із забезпечення якості вищої освіти 	Факультет наземних споруд і аеродромів 
195	19 Архітектура та будівництво	192 Будівництво та цивільна інженерія	12056	Промислове і цивільне будівництво	Перший (бакалаврський)	"№ 4393
(ОП)"	"19.05.2023
 01.07.2028"	Національне агентство із забезпечення якості вищої освіти 	Факультет наземних споруд і аеродромів 
196	19 Архітектура та будівництво	192 Будівництво та цивільна інженерія	8873	Промислове і цивільне будівництво	Другий (магістерський)	УД №11006756 (ОП)	"08.01.2019
 01.07.2025"	Міністерство освіти і науки України	Факультет наземних споруд і аеродромів 
197	19 Архітектура та будівництво	192 Будівництво та цивільна інженерія	60705	Проєктування та експлуатація аеродромів	Перший (бакалаврський)	УД №1191139 (С)	"08.01.2019
 01.07.2025"	Міністерство освіти і науки України	Факультет наземних споруд і аеродромів 
198	19 Архітектура та будівництво	192 Будівництво та цивільна інженерія	49919	Будівництво та цивільна інженерія	Третій (освітньо- науковий)	"№ 3113 
(ОП)"	"20.04.2022
 01.07.2027"	Національне агентство із забезпечення якості вищої освіти 	Факультет наземних споруд і аеродромів 
199	19 Архітектура та будівництво	193 Геодезія та землеустрій	7085	Геоінформаційні системи і технології	Перший (бакалаврський)	НД №1193807 (С)	"31.10.2017
 01.07.2027"	Міністерство освіти і науки України	Факультет наземних споруд і аеродромів 
200	19 Архітектура та будівництво	193 Геодезія та землеустрій	9492	Геоінформаційні системи і технології	Другий (магістерський)	УД №11001441 (ОП)	"27.02.2018
 01.07.2025"	Міністерство освіти і науки України	Факультет наземних споруд і аеродромів 
201	19 Архітектура та будівництво	193 Геодезія та землеустрій	6375	Землеустрій та кадастр	Перший (бакалаврський)	НД №1193807 (С)	"31.10.2017
01.07.2027"	Міністерство освіти і науки України	Факультет наземних споруд і аеродромів 
202	19 Архітектура та будівництво	193 Геодезія та землеустрій	6104	Землеустрій та кадастр	Другий (магістерський)	УД №11001440 (ОП)	"27.02.2018
01.07.2025"	Міністерство освіти і науки України	Факультет наземних споруд і аеродромів 
203	23 Соціальна робота	231 Соціальна робота	8822	Соціальна робота	Перший (бакалаврський)	НД №1193808 (С)	"31.10.2017
01.07.2027"	Міністерство освіти і науки України	Факультет лінгвістики та соціальних комунікацій
204	23 Соціальна робота	231 Соціальна робота	16986	Соціальна робота	Другий (магістерський)	"№6581
(ОП)"	"14.12.2023
01.07.2029"	Національне агентство із забезпечення якості вищої освіти 	Факультет лінгвістики та соціальних комунікацій
205	24 Сфера обслуговування	242 Туризм	12059	Туризмознавство	Перший (бакалаврський)	"№ 5779
(ОП)"	"26.07.2023
01.07.2026"	Національне агентство із забезпечення якості вищої освіти 	Факультет міжнародних відносин
206	24 Сфера обслуговування	242 Туризм і рекреація (для вступників з 2023 року)	59294	Туризмознавство	Перший (бакалаврський)	"№ 5779
(ОП)"	"26.07.2023
01.07.2026"	Національне агентство із забезпечення якості вищої освіти 	Факультет міжнародних відносин
207	24 Сфера обслуговування	242 Туризм і рекреація 	59323	Туризмознавство	Другий (магістерський)	"№6875 
(ОП)"	"16.01.2024
01.07.2029"	Національне агентство із забезпечення якості вищої освіти 	Факультет міжнародних відносин
208	24 Сфера обслуговування	242 Туризм і рекреація 	62311	Міжнародний туризм і регіональні студії	Третій (освітньо- науковий)	Неакредитована (ОП)	---	---	Факультет міжнародних відносин
209	26 Цивільна безпека	262 Правоохоронна діяльність	30900	Правоохоронна діяльність	Перший (бакалаврський)	"№ 4377
(ОП)"	"19.05.2023
01.07.2028"	Національне агентство із забезпечення якості вищої освіти 	Юридичний факультет
210	26 Цивільна безпека	262 Правоохоронна діяльність	34105	Правоохоронна діяльність	Другий (магістерський)	"№6234
(ОП)"	24.11.2023 01.07.2029	Національне агентство із забезпечення якості вищої освіти 	Юридичний факультет
211	26 Цивільна безпека	263 Цивільна безпека	33078	Захист об'єктів критичної інфраструктури	Перший (бакалаврський)	УД №11010808 (С)	"23.09.2019
01.07.2025"	Міністерство освіти і науки України	Факультет екологічної безпеки, інженерії та технологій
